# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
SLC26A3,1.246,3.958,0.000e+0
RASGEF1B,2.178,3.855,0.000e+0
RP11-701H24.9,1.044,3.396,0.000e+0
LINGO1,1.797,2.873,0.000e+0
PDE4DIP,1.276,2.671,0.000e+0
AC159540.1,0.768,2.608,0.000e+0
RP11-289H16.1,0.578,2.594,0.000e+0
RP11-219A15.1,0.387,2.472,0.000e+0
LINC01609,0.386,2.370,0.000e+0
PHYHIP,0.798,2.320,0.000e+0
RP11-745L13.2,0.355,2.153,0.000e+0
LRP4,0.603,1.881,0.000e+0
SLC17A7,0.705,1.803,0.000e+0
SNCB,0.640,1.745,0.000e+0
MPHOSPH8,0.883,1.634,0.000e+0
FAIM2,0.846,1.612,0.000e+0
INO80D,0.718,1.596,0.000e+0
GDI1,0.559,1.515,0.000e+0
BCOR,0.373,1.507,0.000e+0
PRNP,0.943,1.455,0.000e+0
NCDN,0.452,1.400,0.000e+0
WASHC1,0.194,1.398,0.000e+0
GRIN1,1.044,1.392,0.000e+0
NSF,0.855,1.390,0.000e+0
CHD5,0.592,1.390,0.000e+0
NORAD,0.569,1.365,0.000e+0
HYDIN,0.404,1.350,0.000e+0
SYN1,0.483,1.342,0.000e+0
GTF2I,0.685,1.342,0.000e+0
CH17-189H20.1,0.210,1.332,0.000e+0
TSPYL1,0.524,1.298,0.000e+0
ENO2,0.617,1.262,0.000e+0
FAM85B,0.226,1.261,0.000e+0
ARHGEF25,0.154,1.250,0.000e+0
RP11-156P1.2,0.104,1.187,0.000e+0
TOLLIP,0.259,1.181,0.000e+0
SLC9A6,0.240,1.177,0.000e+0
SYNPO,0.168,1.172,0.000e+0
BCYRN1,0.480,1.170,0.000e+0
IQCJ-SCHIP1,1.321,1.170,0.000e+0
EPHB6,0.299,1.167,0.000e+0
SIRPA,0.323,1.165,0.000e+0
CBWD5,0.247,1.156,0.000e+0
FAM66D,0.243,1.125,0.000e+0
RHBDD2,0.287,1.118,0.000e+0
MUC20-OT1,0.359,1.107,0.000e+0
DNAJB2,0.269,1.101,0.000e+0
THY1,0.631,1.096,0.000e+0
LINC01106,0.118,1.092,0.000e+0
C1orf115,0.159,1.092,0.000e+0
PDZD4,0.188,1.091,0.000e+0
SV2A,0.413,1.087,0.000e+0
PSAP,0.685,1.086,0.000e+0
IDS,0.805,1.083,0.000e+0
ZMYM3,0.201,1.074,0.000e+0
MAP1A,0.421,1.074,0.000e+0
CHN1,1.115,1.058,0.000e+0
MAST3,0.258,1.042,0.000e+0
LINC00486_ENSG00000230876,1.104,1.040,0.000e+0
RAB6B,0.370,1.037,0.000e+0
SYP,0.556,1.035,0.000e+0
NAPB,0.362,1.025,0.000e+0
TMEM130,0.286,1.018,0.000e+0
RP4-777O23.3,0.075,1.017,0.000e+0
PIP4K2B,0.175,1.012,0.000e+0
ZNF365,0.365,1.010,0.000e+0
MBOAT7,0.142,1.006,0.000e+0
RP11-1157N2__B.2,0.067,0.999,0.000e+0
PRRT1,0.123,0.998,0.000e+0
PRB2,0.137,0.997,0.000e+0
RUNDC3A,0.255,0.993,0.000e+0
RP11-15E1.5,0.066,0.987,0.000e+0
LINC00623,0.135,0.987,0.000e+0
LINC02256,0.114,0.980,0.000e+0
KIAA0930,0.468,0.975,0.000e+0
ADGRB2,0.170,0.972,0.000e+0
RP11-566D24.2,0.061,0.971,0.000e+0
ADGRL1,0.285,0.969,0.000e+0
SLITRK4,0.209,0.963,0.000e+0
CH507-513H4.1,0.118,0.958,0.000e+0
PDXDC1,0.493,0.957,0.000e+0
BIN1,0.275,0.957,0.000e+0
RP11-115D19.1,0.135,0.954,0.000e+0
KAT2A,0.145,0.950,0.000e+0
WASH9P,0.052,0.945,0.000e+0
KCNJ4,0.101,0.944,0.000e+0
RP11-154D17.1,0.150,0.943,0.000e+0
CLSTN1,0.643,0.942,0.000e+0
LINC01632,0.061,0.942,0.000e+0
DGKZ,0.374,0.940,0.000e+0
FXYD7,0.260,0.940,0.000e+0
PRKAR1B,0.487,0.934,0.000e+0
PNMA2,0.394,0.928,0.000e+0
ATP6V1B2,0.322,0.922,0.000e+0
FLOT1,0.195,0.918,0.000e+0
DMTN,0.235,0.913,0.000e+0
RP11-173D3.1,0.067,0.896,0.000e+0
TCAF1,0.205,0.892,0.000e+0
STX1A,0.199,0.892,0.000e+0
DLG4,0.199,0.883,0.000e+0
SULT4A1,0.275,0.883,0.000e+0
PNISR,0.743,0.882,0.000e+0
FAM157C,0.072,0.882,0.000e+0
CDIP1,0.215,0.879,0.000e+0
RP4-565E6.1,0.110,0.878,0.000e+0
MTURN,0.246,0.875,0.000e+0
PLEC,0.165,0.873,0.000e+0
PGAM1,0.227,0.872,0.000e+0
NISCH,0.285,0.872,0.000e+0
ATN1,0.182,0.867,0.000e+0
SLC12A5,0.310,0.865,0.000e+0
RP11-315A19.1,0.048,0.851,0.000e+0
PURA,0.278,0.847,0.000e+0
TSPYL2,0.257,0.846,0.000e+0
BAIAP2,0.293,0.843,0.000e+0
NPIPA8,0.038,0.843,0.000e+0
ACTB,0.808,0.841,0.000e+0
KIF5C-AS1,0.192,0.840,0.000e+0
SPARCL1,0.804,0.840,0.000e+0
KCNJ9,0.100,0.838,0.000e+0
KCNT1,0.220,0.835,0.000e+0
CLSTN3,0.323,0.823,0.000e+0
PNMA3,0.188,0.823,0.000e+0
LINC00937,0.200,0.823,0.000e+0
KCNAB2,0.230,0.821,0.000e+0
LGI3,0.095,0.818,0.000e+0
KCNQ2,0.314,0.817,0.000e+0
TAF1D,0.330,0.817,0.000e+0
CBX6,0.225,0.817,0.000e+0
CD163L1,0.116,0.814,0.000e+0
NEFL,0.330,0.814,0.000e+0
GRINA,0.141,0.814,0.000e+0
TPTEP2-CSNK1E,0.058,0.812,0.000e+0
GBA,0.056,0.812,0.000e+0
VSTM2A,0.245,0.811,0.000e+0
PTPRN,0.231,0.796,0.000e+0
NPIPA1,0.150,0.796,0.000e+0
ATF6B,0.113,0.795,0.000e+0
DYNC2I1,0.331,0.793,0.000e+0
PKD1,0.395,0.791,0.000e+0
CAMK2B,0.602,0.791,0.000e+0
ADGRB1,0.157,0.790,0.000e+0
NCS1,0.188,0.786,0.000e+0
DPP7,0.174,0.782,0.000e+0
MLXIPL,0.124,0.779,0.000e+0
PTPA,0.143,0.778,0.000e+0
PPIA,0.424,0.776,0.000e+0
NCEH1,0.222,0.770,0.000e+0
ACTG1,0.333,0.767,0.000e+0
RGS4,0.212,0.763,0.000e+0
ZMAT3,0.153,0.762,0.000e+0
LINC00685,0.118,0.762,0.000e+0
SPDYE5,0.079,0.762,0.000e+0
ARFGAP1,0.129,0.761,0.000e+0
CBWD6,0.062,0.761,0.000e+0
DYNLL2,0.217,0.760,0.000e+0
SRCIN1,0.246,0.755,0.000e+0
KIFC2,0.262,0.754,0.000e+0
SLC6A17,0.223,0.754,0.000e+0
PDXK,0.211,0.742,0.000e+0
EFHD2,0.128,0.741,0.000e+0
RANGAP1,0.168,0.741,0.000e+0
PREPL,0.575,0.741,0.000e+0
RIMS3,0.145,0.739,0.000e+0
OLFM1,0.497,0.737,0.000e+0
RP11-577H5.5,0.076,0.733,0.000e+0
CEBPB,0.069,0.733,0.000e+0
CA11,0.217,0.731,0.000e+0
SERINC3,0.255,0.730,0.000e+0
USP22,0.334,0.730,0.000e+0
RAD9A,0.239,0.726,0.000e+0
AC116366.7,0.063,0.725,0.000e+0
KNDC1,0.196,0.724,0.000e+0
GPR162,0.125,0.723,0.000e+0
NLRP1,0.191,0.722,0.000e+0
GOLGA7B,0.107,0.719,0.000e+0
TYRO3,0.168,0.717,0.000e+0
TAPBP,0.086,0.714,0.000e+0
TUBA4A,0.150,0.713,0.000e+0
HLF,0.197,0.712,0.000e+0
DKK3,0.387,0.711,0.000e+0
FGFR1OP2,0.192,0.711,0.000e+0
NSMF,0.162,0.710,0.000e+0
INTS11,0.125,0.710,0.000e+0
NUCKS1,0.440,0.708,0.000e+0
SLC27A6,0.221,0.708,0.000e+0
TLE5,0.259,0.707,0.000e+0
HYOU1,0.063,0.704,0.000e+0
WBP2,0.174,0.703,0.000e+0
SEPTIN3,0.176,0.702,0.000e+0
TEF,0.112,0.700,0.000e+0
FAM95B1,0.033,0.699,0.000e+0
IQSEC2,0.162,0.699,0.000e+0
MALAT1,0.869,0.696,0.000e+0
AC159540.2,0.053,0.691,0.000e+0
PNMA8A,0.105,0.691,0.000e+0
CYRIA,0.344,0.690,0.000e+0
ARPP19,0.410,0.688,0.000e+0
HAPLN4,0.058,0.688,0.000e+0
CORO6,0.141,0.688,0.000e+0
CAMK2N1,0.547,0.688,0.000e+0
DNAJC7,0.131,0.687,0.000e+0
CREG2,0.278,0.687,0.000e+0
FBXO44,0.184,0.686,0.000e+0
TCF24,0.034,0.685,0.000e+0
TUBA1B,0.613,0.684,0.000e+0
CXXC5,0.172,0.684,0.000e+0
EIF4A2,0.483,0.680,0.000e+0
MOSMO,0.276,0.679,0.000e+0
STX1B,0.181,0.678,0.000e+0
LL22NC03-2H8.5,0.114,0.677,0.000e+0
CPSF1,0.063,0.675,0.000e+0
SLC6A8,0.070,0.675,0.000e+0
CHGA,0.233,0.674,0.000e+0
SCAMP5,0.339,0.673,0.000e+0
NAP1L2,0.145,0.672,0.000e+0
HPCA,0.198,0.672,0.000e+0
ITPKA,0.077,0.672,0.000e+0
JUND,0.311,0.672,0.000e+0
CLIP3,0.250,0.671,0.000e+0
NAIP,0.098,0.671,0.000e+0
VXN,0.091,0.667,0.000e+0
RP11-38L15.3,0.055,0.666,0.000e+0
CLIP2,0.226,0.665,0.000e+0
CRLF1,0.134,0.662,0.000e+0
TUBB,0.206,0.660,0.000e+0
BMS1P14,0.052,0.658,0.000e+0
CD99L2,0.141,0.658,0.000e+0
AGAP4,0.064,0.657,0.000e+0
ADGRA1,0.084,0.656,0.000e+0
GUCY1B1,0.191,0.654,0.000e+0
ATP1A1,0.365,0.654,0.000e+0
YPEL3,0.277,0.652,0.000e+0
RBAK-RBAKDN,0.071,0.649,0.000e+0
AP1G2,0.123,0.649,0.000e+0
KCNH3,0.135,0.647,0.000e+0
GRK2,0.091,0.644,0.000e+0
RP11-192H23.4,0.112,0.643,0.000e+0
HPCAL4,0.132,0.643,0.000e+0
RAPGEFL1,0.161,0.643,0.000e+0
TMSB4X,0.643,0.641,0.000e+0
MEF2D,0.124,0.640,0.000e+0
HERC2,0.325,0.640,0.000e+0
NBPF12,0.078,0.640,0.000e+0
PLGLB1,0.064,0.638,0.000e+0
RNF208,0.098,0.637,0.000e+0
PEA15,0.219,0.636,0.000e+0
CTBP1,0.161,0.635,0.000e+0
NR1D1,0.073,0.634,0.000e+0
GABBR1,0.182,0.634,0.000e+0
DIRAS1,0.133,0.633,0.000e+0
NBPF19,0.042,0.633,0.000e+0
RP11-88I18.2,0.027,0.632,0.000e+0
PLEKHA1,0.299,0.630,0.000e+0
RASD1,0.108,0.628,0.000e+0
NUAK1,0.313,0.627,0.000e+0
MAPK8IP2,0.181,0.625,0.000e+0
TSPYL4,0.160,0.625,0.000e+0
CRELD1,0.149,0.624,0.000e+0
ZNF721,0.204,0.623,0.000e+0
LUC7L3,0.511,0.623,0.000e+0
CEP290,0.230,0.622,0.000e+0
CH507-528H12.1,0.065,0.622,0.000e+0
HSPB1,0.113,0.621,0.000e+0
PNCK,0.122,0.620,0.000e+0
TNFRSF25,0.132,0.620,0.000e+0
TESPA1,0.261,0.620,0.000e+0
KCNAB1,0.354,0.620,0.000e+0
PSD,0.193,0.618,0.000e+0
CAMKV,0.220,0.618,0.000e+0
RIPOR1,0.110,0.617,0.000e+0
CCDC85B,0.191,0.616,0.000e+0
PNMA6A,0.051,0.616,0.000e+0
POM121C,0.120,0.613,0.000e+0
RP11-430H10.4,0.065,0.610,0.000e+0
RAB3A,0.231,0.608,0.000e+0
CX3CL1,0.099,0.607,0.000e+0
CABP1,0.480,0.607,0.000e+0
FGF17,0.078,0.607,0.000e+0
PRRC2A,0.082,0.607,0.000e+0
LRRC37A3,0.232,0.606,0.000e+0
POLN,0.127,0.605,0.000e+0
AGPAT1,0.060,0.605,0.000e+0
KIF1A,0.328,0.605,0.000e+0
SPDYE16,0.032,0.603,0.000e+0
PACSIN1,0.160,0.603,0.000e+0
LY6H,0.295,0.603,0.000e+0
BRD2,0.072,0.599,0.000e+0
RASD2,0.074,0.599,0.000e+0
ATP6AP1,0.126,0.598,0.000e+0
AP002954.4,0.087,0.598,0.000e+0
SLC6A7,0.115,0.597,0.000e+0
MAPK8IP3,0.259,0.597,0.000e+0
HSPH1,0.258,0.597,0.000e+0
KLC1,0.358,0.597,0.000e+0
AGAP3,0.218,0.596,0.000e+0
PDPK1,0.130,0.594,0.000e+0
NUDT4,0.134,0.594,0.000e+0
NAP1L3,0.200,0.593,0.000e+0
BDP1,0.256,0.593,0.000e+0
ARHGEF4,0.211,0.589,0.000e+0
NECAB1,0.527,0.588,0.000e+0
PDE4A,0.146,0.588,0.000e+0
CCDC186,0.127,0.588,0.000e+0
EIF4E1B,0.045,0.588,0.000e+0
APOL2,0.058,0.588,0.000e+0
SLC5A4-AS1,0.157,0.586,0.000e+0
GCC2,0.243,0.585,0.000e+0
PHF1,0.065,0.585,0.000e+0
RP11-206L10.17,0.091,0.584,0.000e+0
ST8SIA3,0.202,0.584,0.000e+0
CTD-2337A12.1,0.114,0.584,0.000e+0
DPY19L2,0.269,0.583,0.000e+0
JPH4,0.314,0.583,0.000e+0
SPRYD3,0.097,0.581,0.000e+0
ATP2B3,0.068,0.581,0.000e+0
SAT1,0.184,0.578,0.000e+0
PER1,0.083,0.578,0.000e+0
CTC-471J1.9,0.021,0.578,0.000e+0
CBWD3,0.041,0.578,0.000e+0
RING1,0.085,0.577,0.000e+0
FAM199X,0.070,0.575,0.000e+0
SYNGR1,0.188,0.574,0.000e+0
TMEM191B,0.021,0.574,0.000e+0
LY6E,0.128,0.571,0.000e+0
BTBD8,0.232,0.570,0.000e+0
RP11-792A8.5,0.057,0.569,0.000e+0
AGAP9,0.029,0.569,0.000e+0
DDN,0.040,0.568,0.000e+0
LGI4,0.091,0.567,0.000e+0
NFE2L1,0.139,0.567,0.000e+0
RAB11A,0.314,0.567,0.000e+0
RP11-189B4.7,0.022,0.566,0.000e+0
ADAP1,0.086,0.566,0.000e+0
RP11-229P13.27,0.042,0.564,0.000e+0
TNK2,0.146,0.563,0.000e+0
PRKCG,0.109,0.563,0.000e+0
ENC1,0.471,0.562,0.000e+0
HCG17,0.201,0.562,0.000e+0
MAMDC2,0.134,0.562,0.000e+0
ESF1,0.206,0.562,0.000e+0
PDIA2,0.095,0.560,0.000e+0
PTK2B,0.274,0.560,0.000e+0
CTSA,0.089,0.559,0.000e+0
SNED1,0.250,0.557,0.000e+0
CATSPER2,0.218,0.555,0.000e+0
GTF2H2,0.056,0.553,0.000e+0
KANTR,0.159,0.553,0.000e+0
LINC01409,0.082,0.552,0.000e+0
NQO2,0.148,0.551,0.000e+0
SPTBN4,0.486,0.551,0.000e+0
LMO4,0.382,0.551,0.000e+0
ZCCHC3,0.040,0.550,0.000e+0
ACAP3,0.212,0.549,0.000e+0
FAM182B,0.115,0.547,0.000e+0
UMAD1,0.194,0.547,0.000e+0
CDK10,0.119,0.547,0.000e+0
LIMK1,0.068,0.546,0.000e+0
PIK3R1,0.370,0.546,0.000e+0
LZTS3,0.128,0.545,0.000e+0
NBPF11,0.053,0.545,0.000e+0
SLF1,0.193,0.544,0.000e+0
ENSG00000278817.1,0.021,0.544,0.000e+0
CHRM1,0.060,0.544,0.000e+0
EXOSC6,0.078,0.543,0.000e+0
TAGLN3,0.257,0.543,0.000e+0
SUZ12,0.177,0.540,0.000e+0
SNAP25,0.572,0.540,0.000e+0
BAIAP3,0.112,0.537,0.000e+0
KCNIP2,0.114,0.537,0.000e+0
HPRT1,0.209,0.537,0.000e+0
MTPN,0.169,0.536,0.000e+0
FAM217B,0.132,0.536,0.000e+0
EIF1AX,0.198,0.536,0.000e+0
MKNK1,0.125,0.536,0.000e+0
TMEM59L,0.335,0.535,0.000e+0
CEP126,0.249,0.535,0.000e+0
SRSF8,0.058,0.534,0.000e+0
H2AZ2,0.114,0.534,0.000e+0
GABRG2,0.366,0.533,0.000e+0
RP11-379B18.6,0.061,0.532,0.000e+0
STEAP2,0.115,0.531,0.000e+0
SUMO3,0.117,0.531,0.000e+0
APBB1,0.211,0.530,0.000e+0
IPCEF1,0.181,0.529,0.000e+0
PEBP1,0.444,0.529,0.000e+0
RNF11,0.183,0.528,0.000e+0
CNTNAP3B,0.209,0.528,0.000e+0
CAMTA2,0.098,0.526,0.000e+0
NBL1,0.106,0.526,0.000e+0
RETREG2,0.107,0.525,0.000e+0
ZER1,0.233,0.525,0.000e+0
CLCN7,0.099,0.525,0.000e+0
RNF187,0.133,0.524,0.000e+0
STMN3,0.213,0.524,0.000e+0
RP11-111H13.1,0.176,0.523,0.000e+0
RAP1GAP,0.204,0.523,0.000e+0
TMEM268,0.057,0.522,0.000e+0
APLP1,0.301,0.522,0.000e+0
VPS28,0.084,0.522,0.000e+0
GABRA1,0.343,0.521,0.000e+0
PIDD1,0.048,0.520,0.000e+0
MEF2C,0.643,0.520,0.000e+0
LRATD1,0.069,0.519,0.000e+0
RP11-318K12.2,0.057,0.519,0.000e+0
USP39,0.139,0.518,0.000e+0
TBC1D19,0.269,0.518,0.000e+0
AATK,0.132,0.518,0.000e+0
UCHL1,0.448,0.518,0.000e+0
AGRN,0.063,0.517,0.000e+0
PHF11,0.063,0.515,0.000e+0
MFSD4A,0.079,0.515,0.000e+0
CAMKK1,0.159,0.512,0.000e+0
RABL6,0.128,0.512,0.000e+0
MMP23B,0.018,0.511,1.830e-274
EGFL7,0.064,0.510,0.000e+0
SON,0.298,0.510,0.000e+0
THUMPD3-AS1,0.128,0.510,0.000e+0
EFR3A,0.237,0.509,0.000e+0
ARL6IP4,0.113,0.509,0.000e+0
RP11-505E24.2,0.048,0.509,0.000e+0
LPCAT4,0.122,0.508,0.000e+0
PPFIA3,0.134,0.508,0.000e+0
MBP,0.170,0.508,0.000e+0
NPTXR,0.222,0.507,0.000e+0
CCK,0.402,0.507,0.000e+0
CEP295,0.092,0.507,0.000e+0
PHF24,0.064,0.507,0.000e+0
MIR4435-2HG,0.146,0.507,0.000e+0
RXRB,0.046,0.507,0.000e+0
LTBP3,0.095,0.507,0.000e+0
ARF1,0.200,0.506,0.000e+0
CTA-276F8.2,0.055,0.505,0.000e+0
LENG8,0.129,0.504,0.000e+0
TENT4B,0.097,0.503,0.000e+0
FBXL16,0.104,0.503,0.000e+0
SMIM10L2A,0.032,0.503,0.000e+0
RP13-726E6.1,0.042,0.502,0.000e+0
TPI1,0.196,0.501,0.000e+0
EXTL1,0.041,0.500,0.000e+0
ACTN1,0.218,0.500,0.000e+0
DGCR2,0.157,0.499,0.000e+0
EHD3,0.066,0.499,0.000e+0
CDK5R1,0.227,0.499,0.000e+0
IGSF10,0.055,0.498,0.000e+0
MT2A,0.069,0.497,0.000e+0
BRSK2,0.148,0.497,0.000e+0
RELL2,0.069,0.497,0.000e+0
RP11-379H8.1,0.032,0.496,0.000e+0
SCN2B,0.095,0.495,0.000e+0
CACNA1I,0.082,0.495,0.000e+0
H1-10,0.153,0.494,0.000e+0
BSN,0.202,0.494,0.000e+0
USP5,0.059,0.494,0.000e+0
LINC02210-CRHR1,0.084,0.494,0.000e+0
PGAP4,0.075,0.494,0.000e+0
SPOCK2,0.200,0.492,0.000e+0
MAT2A,0.100,0.490,0.000e+0
USP11,0.215,0.488,0.000e+0
GNL1,0.057,0.487,0.000e+0
ZFAND5,0.171,0.487,0.000e+0
FAM153A,0.130,0.487,0.000e+0
EHMT2,0.062,0.486,0.000e+0
CHST1,0.090,0.486,0.000e+0
CKB,0.398,0.486,0.000e+0
POM121,0.100,0.485,0.000e+0
TAF15,0.206,0.485,0.000e+0
NGEF,0.189,0.484,0.000e+0
ABCA2,0.112,0.484,0.000e+0
ADAM11,0.108,0.484,0.000e+0
RNF115,0.181,0.484,0.000e+0
DNAAF4,0.062,0.483,0.000e+0
ANKRD20A4P,0.023,0.483,0.000e+0
LMBRD2,0.151,0.483,0.000e+0
ADD2,0.200,0.482,0.000e+0
AC018890.6,0.044,0.482,0.000e+0
PJA2,0.301,0.481,0.000e+0
SLITRK5,0.167,0.481,0.000e+0
CLTB,0.137,0.481,0.000e+0
LRRC37A2,0.085,0.481,0.000e+0
MECP2,0.120,0.481,0.000e+0
PIP4K2C,0.075,0.480,0.000e+0
ENSG00000273748.1,0.078,0.480,0.000e+0
HTR1E,0.234,0.480,0.000e+0
AGAP6,0.045,0.480,0.000e+0
PRPF19,0.099,0.479,0.000e+0
SOCS7,0.090,0.479,0.000e+0
CARMIL2,0.055,0.478,0.000e+0
LPP,0.337,0.478,0.000e+0
RP3-403A15.5,0.038,0.478,0.000e+0
KCNQ5,0.682,0.478,0.000e+0
GAS7,0.345,0.477,0.000e+0
YTHDC1,0.096,0.477,0.000e+0
KCTD17,0.082,0.476,0.000e+0
MIB2,0.075,0.475,0.000e+0
ZDHHC22,0.068,0.475,0.000e+0
DGAT1,0.039,0.475,0.000e+0
KRT17,0.024,0.474,0.000e+0
RP11-624C23.1,0.267,0.474,0.000e+0
SLF2,0.102,0.473,0.000e+0
MARS1,0.070,0.473,0.000e+0
CTD-3113P16.11,0.016,0.473,2.768e-254
ABHD18,0.154,0.473,0.000e+0
SRRM3,0.326,0.472,0.000e+0
CAMK1G,0.053,0.471,0.000e+0
MAPRE3,0.168,0.471,0.000e+0
CTD-2537O9.1,0.186,0.471,0.000e+0
CYP46A1,0.158,0.471,0.000e+0
NPIPB5,0.071,0.471,0.000e+0
P2RX7,0.123,0.470,0.000e+0
LRP3,0.085,0.469,0.000e+0
GGNBP2,0.087,0.469,0.000e+0
WDR82,0.152,0.469,0.000e+0
TNNT2,0.058,0.469,0.000e+0
NIM1K,0.114,0.468,0.000e+0
TCAF2,0.017,0.468,8.157e-261
PLEKHB2,0.120,0.467,0.000e+0
ADGRB3,0.703,0.467,0.000e+0
AMPD2,0.067,0.467,0.000e+0
TACC1,0.209,0.467,0.000e+0
CPLX2,0.222,0.466,0.000e+0
CPLX1,0.165,0.466,0.000e+0
ZBTB18,0.190,0.466,0.000e+0
OTUD5,0.058,0.466,0.000e+0
TTC14,0.248,0.465,0.000e+0
NPIPB13,0.027,0.465,0.000e+0
PLD3,0.318,0.464,0.000e+0
LINC01284,0.057,0.464,0.000e+0
CRIP2,0.097,0.464,0.000e+0
SLC30A3,0.059,0.464,0.000e+0
ADAMTS10,0.065,0.463,0.000e+0
CDK5R2,0.087,0.463,0.000e+0
PRKRIP1,0.117,0.462,0.000e+0
RP11-134F2.8,0.015,0.462,6.204e-232
DTX3,0.118,0.462,0.000e+0
INTS1,0.096,0.462,0.000e+0
TMA7,0.216,0.462,0.000e+0
HRH3,0.072,0.461,0.000e+0
SERPINI1,0.333,0.461,0.000e+0
DOC2A,0.088,0.460,0.000e+0
SMPD4,0.077,0.460,0.000e+0
ARHGEF9,0.190,0.459,0.000e+0
NSD2,0.147,0.459,0.000e+0
YARS1,0.089,0.458,0.000e+0
KLHDC3,0.122,0.458,0.000e+0
SEPTIN8,0.084,0.457,0.000e+0
GAPDH,0.446,0.457,0.000e+0
ATRX,0.360,0.457,0.000e+0
PRKCB,0.510,0.457,0.000e+0
ATP6V1E1,0.131,0.456,0.000e+0
ETS2,0.063,0.456,0.000e+0
NAPA,0.115,0.456,0.000e+0
KCNA2,0.072,0.455,0.000e+0
HNRNPL,0.119,0.455,0.000e+0
SURF4,0.050,0.455,0.000e+0
GDA,0.157,0.455,0.000e+0
TPRG1L,0.061,0.455,0.000e+0
ABTB1,0.061,0.455,0.000e+0
LINC02798,0.093,0.453,0.000e+0
MLLT6,0.057,0.452,0.000e+0
PFDN6,0.033,0.452,0.000e+0
MMP17,0.126,0.452,0.000e+0
MIR99AHG,0.495,0.452,0.000e+0
PYGB,0.117,0.451,0.000e+0
IQCA1,0.112,0.451,0.000e+0
SLC66A2,0.068,0.451,0.000e+0
SLC22A17,0.252,0.450,0.000e+0
RP11-514P8.6,0.058,0.449,0.000e+0
FKBP5,0.111,0.449,0.000e+0
KTN1,0.280,0.449,0.000e+0
SLC8A2,0.139,0.448,0.000e+0
PNMA6F,0.023,0.448,0.000e+0
KCNS1,0.021,0.448,0.000e+0
RP11-516C1.1,0.077,0.448,0.000e+0
GABRD,0.107,0.446,0.000e+0
SMIM10L2B,0.030,0.446,0.000e+0
RP5-972B16.2,0.048,0.445,0.000e+0
GPC1,0.151,0.445,0.000e+0
ANKRD49,0.073,0.444,0.000e+0
PNMA8C,0.030,0.444,0.000e+0
RAC1,0.204,0.442,0.000e+0
NSUN6,0.139,0.441,0.000e+0
MFSD14C,0.108,0.441,0.000e+0
INF2,0.052,0.441,0.000e+0
GPRASP1,0.089,0.441,0.000e+0
NSD3,0.327,0.440,0.000e+0
GIPC2,0.085,0.440,0.000e+0
ANKRD18B,0.050,0.439,0.000e+0
ZBTB7A,0.135,0.438,0.000e+0
TCF25,0.207,0.438,0.000e+0
RAB5B,0.085,0.438,0.000e+0
PCSK1N,0.327,0.437,0.000e+0
GPR89B,0.044,0.436,0.000e+0
NAA38,0.078,0.436,0.000e+0
RTL8C,0.107,0.436,0.000e+0
RHOBTB2,0.103,0.435,0.000e+0
MRTFB,0.409,0.435,0.000e+0
MPRIP,0.241,0.435,0.000e+0
RTF1,0.238,0.435,0.000e+0
RP11-417L19.2,0.022,0.435,0.000e+0
CIT,0.298,0.435,0.000e+0
IRS2,0.135,0.435,0.000e+0
FEM1B,0.107,0.435,0.000e+0
TNPO2,0.146,0.434,0.000e+0
ITPK1,0.136,0.434,0.000e+0
ABHD17A,0.060,0.434,0.000e+0
BAG6,0.040,0.434,0.000e+0
RP11-192H23.6,0.043,0.434,0.000e+0
TBRG1,0.142,0.433,0.000e+0
SIN3B,0.105,0.433,0.000e+0
TUBB4A,0.177,0.433,0.000e+0
ZBTB4,0.135,0.433,0.000e+0
KLF9,0.064,0.433,0.000e+0
ATP1B1,0.475,0.433,0.000e+0
TOGARAM1,0.135,0.432,0.000e+0
RNPC3,0.216,0.432,0.000e+0
NFE2L2,0.100,0.432,0.000e+0
CCND3,0.109,0.431,0.000e+0
PBX2,0.027,0.431,0.000e+0
GALNT9,0.085,0.431,0.000e+0
ANXA11,0.062,0.431,0.000e+0
PPP2R2D,0.085,0.431,0.000e+0
SAFB2,0.115,0.431,0.000e+0
ENTPD6,0.100,0.431,0.000e+0
SH3GLB2,0.086,0.431,0.000e+0
GTF2H2C,0.061,0.430,0.000e+0
GLIDR,0.030,0.430,0.000e+0
UBE2B,0.209,0.430,0.000e+0
STXBP5L,0.522,0.430,0.000e+0
PLEKHA7,0.118,0.430,0.000e+0
AJM1,0.034,0.430,0.000e+0
HACD2,0.086,0.429,0.000e+0
LSM14A,0.128,0.429,0.000e+0
RP11-133F8.2,0.094,0.428,0.000e+0
BAZ1B,0.093,0.428,0.000e+0
SEC62,0.272,0.428,0.000e+0
SRRM2,0.217,0.428,0.000e+0
FBXO2,0.067,0.427,0.000e+0
RP11-114N19.3,0.044,0.427,0.000e+0
NAGPA,0.069,0.427,0.000e+0
EPOP,0.015,0.426,5.797e-234
MADD,0.111,0.425,0.000e+0
RP11-20I23.6,0.019,0.425,6.828e-297
NCOA7,0.215,0.424,0.000e+0
SSTR3,0.015,0.422,9.689e-231
AGAP2,0.093,0.422,0.000e+0
FAM126B,0.200,0.422,0.000e+0
